n,direccion,status,http_code,elapsed_s,error
133,ARIAS 3441,OK,200.0,5.947587013244629,
134,PAUL GROUSSAC 5618,OK,200.0,5.573387622833252,
135,DONADO 2226,OK,200.0,7.502377033233643,
136,YERBAL 5729,OK,200.0,6.882838249206543,
137,CARHUE 2265,OK,200.0,5.256200313568115,
138,CATULO CASTILLO 2669,OK,200.0,4.635343551635742,
139,RAFAEL HERNANDEZ 2501,OK,200.0,4.24831748008728,
140,DONADO 3908,OK,200.0,5.7454681396484375,
141,SOMELLERA 1052,OK,200.0,5.419729471206665,
142,VICTOR HUGO 2574,OK,200.0,9.385188102722168,
143,CORTINA 2546,OK,200.0,4.654740810394287,
144,RAULIES 1929,OK,200.0,4.92850923538208,
145,COSTA RICA 4646,OK,200.0,9.573639869689941,
146,CALLE SIN NOMBRE OFICIAL 2580,ERROR,404.0,0.3032412528991699,HTTP 404
147,ECHEANDIA 3864,OK,200.0,6.829877138137817,
148,PAUL GROUSSAC 5513,OK,200.0,4.751008033752441,
149,BAZURCO 2389,OK,200.0,8.579010486602783,
150,HELGUERA 5630,OK,200.0,5.653930187225342,
151,BACACAY 5061,OK,200.0,4.963477373123169,
152,CONDE 3117,OK,200.0,7.343760013580322,
153,SANTANDER 2014,OK,200.0,4.655368328094482,
154,CAROLINA MUZILLI 5985,OK,200.0,4.5054261684417725,
155,AGRELO 3820,OK,200.0,5.301265001296997,
156,CORONEL ESTEBAN BONORINO 3588,OK,200.0,5.391660928726196,
157,GABRIELA MISTRAL 3948,OK,200.0,5.336196184158325,
158,CAMPANA 3231,OK,200.0,4.701605558395386,
159,AV. ACOYTE 794,OK,200.0,5.278310775756836,
160,TRES ARROYOS 2376,OK,200.0,4.3525965213775635,
161,DONIZETTI 350,OK,200.0,6.385507822036743,
162,JUAN CARLOS GOMEZ 182,OK,200.0,5.146638631820679,
163,LOS EUCALIPTOS 6784,OK,200.0,6.639872074127197,
164,JACARANDA 1428,OK,200.0,5.183979272842407,
165,AV. ESCALADA 3009,OK,200.0,5.90856146812439,
166,TRES ARROYOS 2965,OK,200.0,5.8166258335113525,
167,CAYASTA 3351,OK,200.0,5.674907207489014,
