n,direccion,status,http_code,elapsed_s,error
165,AV. ESCALADA 3009,OK,200,6.589813470840454,
166,TRES ARROYOS 2965,OK,200,9.515084266662598,
167,CAYASTA 3351,OK,200,6.076701402664185,
168,SALCEDO 3352,OK,200,5.667561292648315,
169,RAUCH 3924,OK,200,6.3628129959106445,
170,CONCORDIA 1471,OK,200,6.809967517852783,
171,TIERRA DEL FUEGO 2538,OK,200,5.969820976257324,
172,AV. CONGRESO 4157,OK,200,7.425759553909302,
173,PICO 1617,OK,200,7.576985836029053,
174,BAUNESS 2288,OK,200,8.63645625114441,
175,TANDIL 3900,OK,200,6.9418675899505615,
176,GRAL. LUCIO NORBERTO MANSILLA 3201,ERROR,404,2.045848846435547,HTTP 404
177,GUTENBERG 2689,OK,200,5.83400297164917,
178,AV. SALVADOR MARIA DEL CARRIL 3188,OK,200,6.099395751953125,
179,DR. HORACIO CASCO 4437,OK,200,5.619392395019531,
180,BAHIA BLANCA 2589,OK,200,6.72327184677124,
181,BONPLAND 2288,OK,200,6.189562797546387,
182,BOULEVARD OLÍMPICO JOSÉ B. ZUBIAUR 4244,ERROR,404,0.37517738342285156,HTTP 404
183,COSQUIN 1146,OK,200,5.17065691947937,
184,ROJAS 2086,ERROR,500,3.175248861312866,HTTP 500
185,MANUEL RICARDO TRELLES 1217,OK,200,5.842638254165649,
186,AV. OLAZABAL 4884,OK,200,5.935364246368408,
187,JOSE P. TAMBORINI 4986,OK,200,6.347447395324707,
188,AV. RIVADAVIA 5920,OK,200,6.324607610702515,
189,SUPERI 3880,OK,200,5.873202085494995,
190,ALEJANDRO MAGARIÑOS CERVANTES 5001,ERROR,404,0.7512772083282471,HTTP 404
191,LISANDRO DE LA TORRE 564,OK,200,8.150187730789185,
192,JOSE P. TAMBORINI 3719,OK,200,8.37777304649353,
193,CORONEL MARTINIANO CHILAVERT 5384,OK,200,6.438552379608154,
194,PLUMERILLO 3924,OK,200,5.916833400726318,
195,SOMELLERA 1739,OK,200,6.4048285484313965,
196,GRECIA 4326,OK,200,7.176023960113525,
197,MANUEL UGARTE 3478,OK,200,4.104558706283569,
198,AV. GAONA 4480,OK,200,5.555135011672974,
199,MARCOS SASTRE 4285,OK,200,6.011308431625366,
200,PIRAN 5745,OK,200,6.144416809082031,
